superalimento_id,nombre,nombre_cientifico,categoria_id,descripcion,origen,forma_consumo,disponibilidad,precio_relativo,precauciones,funcion_principal,tipo_alimento,proveedor,preciokilo,calorias,proteinas,carbohidratos,grasas_totales,grasas_saturadas,grasas_insaturadas,omega_3,omega_6,fibra,azucares,indice_glucemico,unidad_medida,porcion_referencia,vitamina_a,vitamina_c,vitamina_d,vitamina_e,vitamina_k,vitamina_b1,vitamina_b2,vitamina_b3,vitamina_b5,vitamina_b6,vitamina_b9,vitamina_b12,calcio,hierro,magnesio,fosforo,potasio,sodio,zinc,cobre,manganeso,selenio,yodo,polifenoles,flavonoides,carotenoides,antocianinas,capacidad_antioxidante_total,tipo_procesamiento,dosis_min_diaria,dosis_max_diaria,unidad_dosis,fuente_cientifica_dosis,clasificacion,sinergias,antisinergias,biodisponibilidad_porcentaje,claims_seremi,claims_referencia
11,semillas de calabaza,cucurbita pepo,2,"semillas verdes planas ricas en zinc, magnesio y acidos grasos saludables.",america,"crudas, tostadas, en ensaladas o como snack.",todo el ano,1,relativamente seguras. pueden interactuar con medicamentos diureticos.,❤ hormonal,semilla / grano,herbanatural,40.0,559.0,30.2,10.7,49.1,8.5,40.6,0.2,15.3,6.0,4.7,15.0,g,100,16.0,1.9,0.0,2.18,7.4,0.27,0.23,4.93,0.75,0.14,58.0,0.0,46.0,8.8,592.0,1233.0,809.0,7.0,7.8,1.4,4.5,9.4,0.0,12,0.0,16.0,0.0,22.7,materia_prima,10.0,20.0,g,Nutrition Research Reviews 28(1):82-96 (2015),alimento_comun,,,60,bajo_en_sodio|buena_fuente_fibra|excelente_fuente_fibra|buena_fuente_hierro|excelente_fuente_hierro|buena_fuente_potasio|excelente_fuente_potasio,por_100g
12,quinoa,chenopodium quinoa,3,pseudocereal con alto contenido proteico y todos los aminoacidos esenciales.,region andina de sudamerica,"cocida como arroz, en ensaladas, sopas, guisos o como sustituto de cereales.",todo el ano,2,contiene saponinas en su capa exterior. lavar bien antes de cocinar para eliminar sabor amargo.,🧬 energizante,semilla / grano,herbanatural,40.0,368.0,14.1,64.2,6.1,0.7,5.4,0.2,2.9,7.0,1.6,53.0,g,100,14.0,0.0,0.0,2.44,0.0,0.36,0.32,1.52,0.77,0.49,184.0,0.0,47.0,4.6,197.0,457.0,563.0,5.0,3.1,0.59,2.03,8.5,0.0,184,42.0,14.0,0.0,30.4,alimento_completo,30.0,60.0,g,Food Chemistry 138(2-3):1166-1171 (2013),superalimento,,,90,bajo_en_sodio|buena_fuente_fibra|excelente_fuente_fibra|buena_fuente_hierro|excelente_fuente_hierro|buena_fuente_potasio,por_100g
13,amaranto,amaranthus spp.,3,"pseudocereal antiguo rico en proteinas, fibra y minerales.",america central y del sur,"cocido, inflado, en harinas o como sustituto de cereales.",todo el ano,2,relativamente seguro. contiene oxalatos que pueden afectar a personas propensas a calculos renales.,🧬 energizante,semilla / grano,herbanatural,40.0,371.0,13.6,65.8,7.0,1.5,5.5,0.1,2.8,6.7,1.7,35.0,g,100,2.0,4.2,0.0,1.19,0.0,0.12,0.2,0.92,1.46,0.59,82.0,0.0,159.0,7.6,248.0,557.0,508.0,4.0,2.9,0.53,3.33,18.7,0.0,159,21.0,2.0,0.0,18.7,alimento_completo,30.0,60.0,g,Plant Foods for Human Nutrition 71(4):441-447 (2016),superalimento,,,85,bajo_en_sodio|buena_fuente_fibra|excelente_fuente_fibra|buena_fuente_calcio|buena_fuente_hierro|excelente_fuente_hierro|buena_fuente_potasio,por_100g
14,trigo sarraceno,fagopyrum esculentum,3,pseudocereal sin gluten rico en proteinas y antioxidantes.,asia central,"cocido, en harinas, como kasha (tostado) o en platos tradicionales.",todo el ano,2,sin gluten pero puede contaminarse en procesamiento. contiene fagopirinas que pueden causar fotosensibilidad.,🧬 energizante,semilla / grano,herbanatural,40.0,343.0,13.3,71.5,3.4,0.7,2.7,0.1,0.9,10.0,1.5,45.0,g,100,0.0,0.0,0.0,0.3,0.0,0.1,0.43,7.02,1.23,0.21,30.0,0.0,18.0,2.2,231.0,347.0,460.0,1.0,2.4,1.1,1.3,5.7,0.0,218,54.0,0.0,0.0,17.5,alimento_completo,30.0,60.0,g,Journal of Agricultural and Food Chemistry 63(36):7850-7857 (2015),alimento_comun,,,60,bajo_en_sodio|buena_fuente_fibra|excelente_fuente_fibra|buena_fuente_hierro|buena_fuente_potasio,por_100g
15,avena,avena sativa,3,"cereal integral rico en beta-glucanos, fibra soluble y proteinas.",europa y asia,"en copos, integral, en papillas, muesli, productos horneados o bebidas.",todo el ano,1,puede contener trazas de gluten por contaminacion cruzada. alta en fitatos si no se remoja.,❤ colesterol,semilla / grano,herbanatural,40.0,389.0,16.9,66.3,6.9,1.2,5.7,0.1,2.5,10.6,0.7,55.0,g,100,0.0,0.0,0.0,0.42,2.0,0.76,0.14,0.96,1.35,0.12,56.0,0.0,54.0,4.7,177.0,523.0,429.0,2.0,4.0,0.63,4.92,0.0,0.0,102,31.0,0.0,0.0,19.2,alimento_completo,30.0,60.0,g,British Journal of Nutrition 112(S2):S19-S30 (2014),alimento_comun,,,60,bajo_en_sodio|buena_fuente_fibra|excelente_fuente_fibra|buena_fuente_hierro|excelente_fuente_hierro|buena_fuente_potasio,por_100g
16,cebada,hordeum vulgare,3,"cereal antiguo rico en fibra, especialmente beta-glucanos.",oriente medio,"cocida, en sopas, guisos o como sustituto de arroz.",todo el ano,1,contiene gluten. no apta para celiacos.,❤ colesterol,semilla / grano,herbanatural,41.0,354.0,12.5,73.5,2.3,0.5,1.8,0.1,1.0,17.3,0.8,25.0,g,100,1.0,0.0,0.0,0.02,2.2,0.19,0.11,4.6,0.28,0.26,19.0,0.0,33.0,3.6,133.0,264.0,452.0,12.0,2.8,0.5,1.94,37.7,0.0,melena,13.0,1.0,0.0,14.1,alimento_completo,,,,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|buena_fuente_fibra|excelente_fuente_fibra|buena_fuente_hierro|excelente_fuente_hierro|buena_fuente_potasio,por_100g
17,acai,euterpe oleracea,4,"baya morada oscura de palmera amazonica, rica en antioxidantes y acidos grasos.",selva amazonica,"en pulpa congelada, polvo, en batidos, bowls o postres.",estacional,4,perecedero. puede interactuar con medicamentos para el dolor y anticoagulantes.,🔥 antioxidante,fruta / jugo,herbanatural,42.0,70.0,10.0,4.0,5.0,1.5,3.5,0.2,0.6,2.0,2.0,35.0,g,100,1002.0,0.2,0.0,3.8,0.0,0.01,0.36,0.83,1.01,0.04,0.0,0.0,20.0,0.4,10.0,58.0,90.0,1.0,0.1,0.04,0.5,0.0,0.0,3800,1200.0,1002.0,750.0,102.7,alimento_completo,5.0,15.0,g,Journal of Agricultural and Food Chemistry 54(22):8604-10 (2006),superalimento,vitamina c (+40% proteccion de antocianinas),,65,bajo_en_sodio|buena_fuente_vitamina_a|excelente_fuente_vitamina_a,por_100g
18,goji,lycium barbarum,4,pequenas bayas rojas-naranjas secas con alto contenido en antioxidantes y vitaminas.,asia (china y tibet),"secas como snack, hidratadas, en batidos, muesli o infusiones.",todo el ano,3,"pueden interactuar con medicamentos anticoagulantes, para la diabetes y la presion arterial.",🧬 energizante,fruta / jugo,herbanatural,43.0,349.0,14.3,77.1,0.4,0.1,0.3,0.0,0.2,13.0,45.6,28.0,g,100,26822.0,48.4,0.0,0.0,0.0,0.15,1.3,1.5,1.8,0.1,26.0,0.0,190.0,6.8,109.0,178.0,1132.0,298.0,2.0,2.0,0.3,50.0,0.0,4310,1300.0,26822.0,0.0,149.0,alimento_completo,10.0,30.0,g,Journal of Ethnopharmacology 138(1):1-21 (2011),superalimento,,,65,bajo_en_grasa|buena_fuente_fibra|excelente_fuente_fibra|buena_fuente_calcio|buena_fuente_hierro|excelente_fuente_hierro|buena_fuente_vitamina_a|excelente_fuente_vitamina_a|buena_fuente_vitamina_c|excelente_fuente_vitamina_c|buena_fuente_potasio|excelente_fuente_potasio|libre_de_grasa,por_100g
19,arandanos,vaccinium spp.,4,pequenas bayas azules ricas en antocianinas y antioxidantes.,norteamerica y europa,"frescos, congelados, secos, en batidos, postres o como snack.",estacional (frescos) / todo el ano (congelados),2,relativamente seguros. pueden interactuar con medicamentos anticoagulantes.,🔥 antioxidante,fruta / jugo,herbanatural,44.0,57.0,5.0,14.5,0.3,0.1,0.2,0.1,0.1,2.4,10.0,53.0,g,100,54.0,9.7,0.0,0.57,19.3,0.04,0.04,0.42,0.12,0.05,6.0,0.0,6.0,0.3,6.0,12.0,77.0,1.0,0.2,0.06,0.34,0.1,0.0,560,190.0,54.0,387.0,96.2,alimento_completo,5.0,15.0,g,Advances in Nutrition 4(6):618-632 (2013),alimento_funcional,,,60,bajo_en_grasa|bajo_en_sodio|buena_fuente_vitamina_c|libre_de_grasa,por_100g
20,granada,punica granatum,4,fruta roja con semillas jugosas (arilos) rica en antioxidantes y vitamina c.,oriente medio y asia,"arilos frescos, en zumo, extracto o como ingrediente en ensaladas y platos.",estacional,2,el zumo puede interactuar con algunos medicamentos como estatinas y antihipertensivos.,🔥 antioxidante,fruta / jugo,herbanatural,45.0,32.0,4.5,7.7,0.1,0.0,0.1,0.0,0.0,2.7,7.3,53.0,g,100,0.0,10.2,0.0,0.6,16.4,0.07,0.05,0.29,0.38,0.08,38.0,0.0,10.0,0.3,12.0,36.0,236.0,3.0,0.4,0.16,0.12,0.5,0.0,2860,598.0,0.0,306.0,105.0,alimento_completo,,,,,alimento_funcional,,,60,bajo_en_grasa|bajo_en_sodio|buena_fuente_vitamina_c|bajo_en_calorias|libre_de_grasa,por_100g
21,aguacate,persea americana,4,"fruta cremosa rica en grasas monoinsaturadas, potasio y fibra.",america central,"fresco, en guacamole, ensaladas, sandwiches o como sustituto de grasas en reposteria.",estacional / todo el ano (segun region),2,"alto contenido calorico. la semilla y las hojas contienen persin, toxico para algunos animales.",❤ colesterol,fruta / jugo,herbanatural,46.0,46.0,0.9,11.9,0.1,0.0,0.1,0.0,0.0,5.3,7.0,25.0,g,100,146.0,10.0,0.0,2.07,21.0,0.06,0.13,1.74,1.39,0.26,81.0,0.0,12.0,0.6,29.0,52.0,485.0,7.0,0.6,0.19,0.14,0.4,0.0,142,0.0,146.0,0.0,19.0,materia_prima,,,,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|buena_fuente_fibra|buena_fuente_vitamina_a|buena_fuente_vitamina_c|buena_fuente_potasio|libre_de_grasa,por_100g
22,kale,brassica oleracea var. sabellica,5,"verdura de hoja verde rizada con alto contenido en vitaminas, minerales y antioxidantes.",europa,"cruda en ensaladas, salteada, en chips, batidos o sopas.",estacional / todo el ano (cultivo protegido),2,contiene compuestos goitrogenicos que pueden afectar la funcion tiroidea si se consume en exceso crudo.,🔥 antioxidante,hoja / infusion,herbanatural,47.0,43.0,1.4,9.8,0.5,0.1,0.4,0.1,0.1,6.5,4.9,25.0,g,100,9990.0,120.0,0.0,0.66,817.0,0.11,0.13,1.0,0.65,0.27,141.0,0.0,150.0,1.5,47.0,92.0,491.0,43.0,0.6,0.3,0.66,1.2,0.0,547,348.0,9990.0,0.0,97.8,alimento_completo,,,,,alimento_funcional,,,60,bajo_en_grasa|bajo_en_sodio|buena_fuente_fibra|excelente_fuente_fibra|buena_fuente_calcio|buena_fuente_vitamina_a|excelente_fuente_vitamina_a|buena_fuente_vitamina_c|excelente_fuente_vitamina_c|buena_fuente_potasio,por_100g
23,espinacas,spinacia oleracea,5,"verdura de hoja verde rica en hierro, vitaminas y antioxidantes.",asia central,"crudas en ensaladas, salteadas, en batidos, sopas o guisos.",estacional / todo el ano (cultivo protegido),1,altas en oxalatos que pueden afectar la absorcion de calcio y contribuir a calculos renales.,🔥 antioxidante,hoja / infusion,herbanatural,48.0,25.0,0.9,6.0,0.2,0.0,0.2,0.0,0.0,3.3,4.9,25.0,g,100,9377.0,28.1,0.0,2.03,483.0,0.08,0.19,0.72,0.07,0.24,194.0,0.0,99.0,2.7,79.0,49.0,558.0,79.0,0.5,0.13,0.9,1.0,0.0,319,98.0,9377.0,0.0,26.4,alimento_completo,,,,,alimento_funcional,,calcio (oxalatos reducen absorcion),60,bajo_en_grasa|bajo_en_sodio|buena_fuente_fibra|buena_fuente_hierro|buena_fuente_vitamina_a|excelente_fuente_vitamina_a|buena_fuente_vitamina_c|excelente_fuente_vitamina_c|buena_fuente_potasio|bajo_en_calorias|libre_de_grasa,por_100g
24,brocoli,brassica oleracea var. italica,5,"verdura crucifera rica en vitamina c, k y compuestos anticancerigenos.",mediterraneo,"al vapor, salteado, asado, en sopas o crudo.",estacional / todo el ano (cultivo protegido),1,contiene compuestos goitrogenicos que pueden afectar la funcion tiroidea si se consume en exceso crudo.,🛡 sistema inmune,fruta / jugo,herbanatural,49.0,160.0,2.0,4.0,15.0,2.0,13.0,0.1,0.1,8.0,2.0,15.0,g,100,623.0,89.2,0.0,0.78,102.0,0.07,0.12,0.64,0.57,0.18,63.0,0.0,47.0,0.7,21.0,66.0,316.0,33.0,0.4,0.05,0.21,2.5,0.0,198,45.0,623.0,0.0,31.7,alimento_completo,,,,,alimento_comun,,,60,bajo_en_sodio|buena_fuente_fibra|excelente_fuente_fibra|buena_fuente_vitamina_a|excelente_fuente_vitamina_a|buena_fuente_vitamina_c|excelente_fuente_vitamina_c,por_100g
25,bimi,brassica oleracea (hibrido),5,"hibrido entre brocoli y kai-lan con tallos largos y pequenos floretes, rico en vitaminas.",desarrollo reciente (japon),"al vapor, salteado o brevemente hervido como guarnicion.",estacional / todo el ano (cultivo protegido),3,similar al brocoli. contiene compuestos goitrogenicos en menor medida.,🛡 sistema inmune,fruta / jugo,herbanatural,50.0,43.0,0.4,11.0,0.1,0.0,0.1,0.0,0.0,1.4,9.9,70.0,g,100,800.0,100.0,0.0,0.8,110.0,0.08,0.13,0.7,0.6,0.2,70.0,0.0,50.0,0.8,25.0,70.0,340.0,35.0,0.5,0.06,0.25,2.8,0.0,210,50.0,800.0,0.0,35.0,alimento_completo,,,,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|buena_fuente_vitamina_a|excelente_fuente_vitamina_a|buena_fuente_vitamina_c|excelente_fuente_vitamina_c|libre_de_grasa,por_100g
26,moringa,moringa oleifera,5,"planta con hojas verdes ricas en proteinas, vitaminas y minerales.",india y regiones tropicales,"en polvo, capsulas, hojas frescas en sopas, guisos o curry.",todo el ano,3,puede tener efecto laxante. no recomendada durante el embarazo por posibles efectos abortivos.,🧬 energizante,polvo,herbanatural,51.0,205.0,27.1,38.2,2.3,0.4,1.9,1.3,0.3,19.2,1.8,15.0,g,100,378.0,51.7,0.0,0.1,0.0,0.26,0.66,2.6,0.8,1.2,40.0,0.0,185.0,4.0,147.0,112.0,337.0,9.0,0.6,0.1,0.36,0.9,0.0,142,0.0,378.0,0.0,39.1,alimento_completo,2.0,8.0,g,Journal of Food Science and Technology 52(3):1393-1403 (2015),superalimento,pimienta negra (+45% biodisponibilidad),,55,bajo_en_grasa|bajo_en_sodio|buena_fuente_fibra|excelente_fuente_fibra|buena_fuente_calcio|buena_fuente_hierro|excelente_fuente_hierro|buena_fuente_vitamina_a|excelente_fuente_vitamina_a|buena_fuente_vitamina_c|excelente_fuente_vitamina_c,por_100g
27,curcuma,curcuma longa,6,raiz anaranjada con potentes propiedades antiinflamatorias gracias a la curcumina.,sur de asia,"en polvo, fresca rallada, en golden milk, curry o suplementos.",todo el ano,2,puede interactuar con anticoagulantes y antiplaquetarios. consumir con pimienta negra mejora absorcion.,🔥 desinflamatorio general,polvo,herbanatural,52.0,318.0,25.0,44.0,7.0,1.4,5.6,0.5,1.2,18.0,2.0,25.0,g,100,0.0,0.7,0.0,4.43,13.4,0.06,0.15,1.35,0.57,0.15,20.0,0.0,183.0,41.4,193.0,268.0,2080.0,27.0,4.5,1.3,7.8,0.7,0.0,2117,1910.0,0.0,0.0,159.0,alimento_completo,1.0,3.0,g,Johns Hopkins Medicine - Clinical Trials Database (2018),alimento_comun,pimienta negra (+2000% biodisponibilidad por piperina),,30,bajo_en_sodio|buena_fuente_fibra|excelente_fuente_fibra|buena_fuente_calcio|buena_fuente_hierro|excelente_fuente_hierro|buena_fuente_potasio|excelente_fuente_potasio,por_100g
28,jengibre,zingiber officinale,6,raiz aromatica con propiedades antiinflamatorias y digestivas.,sur de asia,"fresco rallado, en polvo, en infusiones, platos salados o dulces.",todo el ano,1,puede interactuar con anticoagulantes y medicamentos para la diabetes. puede causar acidez en algunas personas.,🔥 desinflamatorio general,polvo,herbanatural,53.0,347.0,20.0,58.0,8.0,1.5,6.5,0.3,2.1,15.0,3.0,30.0,g,100,0.0,5.0,0.0,0.26,0.1,0.03,0.03,0.75,0.2,0.16,11.0,0.0,16.0,0.6,43.0,34.0,415.0,13.0,0.3,0.23,0.23,0.7,0.0,204,39.0,0.0,0.0,28.7,alimento_completo,1.0,4.0,g,Phytotherapy Research 29(6):843-850 (2015),alimento_comun,pimienta negra (+30% biodisponibilidad),,75,bajo_en_sodio|buena_fuente_fibra|excelente_fuente_fibra|buena_fuente_potasio,por_100g
29,maca,lepidium meyenii,6,raiz andina adaptogena conocida por sus efectos sobre la energia y equilibrio hormonal.,andes peruanos,"en polvo, capsulas, en batidos, yogures o productos horneados.",todo el ano,4,no recomendada en casos de hipertiroidismo o hipertension. puede afectar niveles hormonales.,🧬 energizante,polvo,herbanatural,54.0,265.0,15.0,52.0,2.5,0.5,2.0,0.2,0.8,12.0,8.0,45.0,g,100,0.0,28.6,0.0,0.0,0.0,0.8,0.41,5.8,1.3,1.0,400.0,0.0,150.0,14.8,79.0,99.0,2050.0,5.0,3.8,6.65,0.8,0.9,0.0,0,0.0,0.0,0.0,42.6,alimento_completo,3.0,10.0,g,Evidence-Based Complementary Medicine 2016:4698690 (2016),adaptogeno,,,70,bajo_en_grasa|bajo_en_sodio|buena_fuente_fibra|excelente_fuente_fibra|buena_fuente_calcio|buena_fuente_hierro|excelente_fuente_hierro|buena_fuente_vitamina_c|excelente_fuente_vitamina_c|buena_fuente_potasio|excelente_fuente_potasio,por_100g
